v4_1,Data Marking,mmm-yy,Time,countries,Geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,seasonal-adjustment,SeasonalAdjustment
5.8,,Sep-10,Sep-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
1.2,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.3,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
5.8,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.8,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.6,,Oct-10,Oct-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.6,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
5.1,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-2.5,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
3.4,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-2.6,,Nov-10,Nov-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
12.1,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
6.6,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
4.4,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.0,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
4.5,,Dec-10,Dec-10,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.3,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
19.2,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
14.3,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.1,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.7,,Jan-11,Jan-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
0.8,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
16.6,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.8,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
10.4,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.5,,Feb-11,Feb-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
13.1,,Mar-11,Mar-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.3,,Mar-11,Mar-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-1.9,,Mar-11,Mar-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.2,,Mar-11,Mar-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.9,,Mar-11,Mar-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
10.4,,Apr-11,Apr-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.1,,Apr-11,Apr-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.0,,Apr-11,Apr-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.2,,Apr-11,Apr-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
7.4,,Apr-11,Apr-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
7.4,,May-11,May-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
16.0,,May-11,May-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.3,,May-11,May-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
2.9,,May-11,May-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.3,,May-11,May-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
20.0,,Jun-11,Jun-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
14.0,,Jun-11,Jun-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.3,,Jun-11,Jun-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
10.4,,Jun-11,Jun-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
2.6,,Jun-11,Jun-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-1.6,,Jul-11,Jul-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
12.7,,Jul-11,Jul-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
10.5,,Jul-11,Jul-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
-1.3,,Jul-11,Jul-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.6,,Jul-11,Jul-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
11.9,,Aug-11,Aug-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.3,,Aug-11,Aug-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.3,,Aug-11,Aug-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
3.4,,Aug-11,Aug-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
9.2,,Aug-11,Aug-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
13.7,,Sep-11,Sep-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-0.3,,Sep-11,Sep-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-0.8,,Sep-11,Sep-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
7.2,,Sep-11,Sep-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
8.3,,Sep-11,Sep-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
12.7,,Oct-11,Oct-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
0.3,,Oct-11,Oct-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
0.0,,Oct-11,Oct-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
7.4,,Oct-11,Oct-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
7.4,,Oct-11,Oct-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
2.9,,Nov-11,Nov-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
19.0,,Nov-11,Nov-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
2.4,,Nov-11,Nov-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
12.9,,Nov-11,Nov-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
9.4,,Nov-11,Nov-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
9.4,,Dec-11,Dec-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-same-month-a-year-earlier,Current prices - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
-2.0,,Dec-11,Dec-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,current-prices-percentage-change-on-previous-month,Current prices - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
-1.5,,Dec-11,Dec-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-previous-month,Chained volume - Percentage change on previous month,seasonal-adjustment,Seasonally Adjusted
6.6,,Dec-11,Dec-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-on-same-month-a-year-earlier,Chained volume - Percentage change on same month a year earlier,seasonal-adjustment,Seasonally Adjusted
8.8,,Dec-11,Dec-11,K03000001,Great Britain,non-store-retailing,Non-store retailing,chained-volume-percentage-change-3-months-on-same-period-a-year-earlier,Chained volume - Percentage change 3 months on same period a year earlier,seasonal-adjustment,Seasonally Adjusted
